PAD; Name
18665; Gudenus Johann, Mag., M.A.I.S. 
00623; Gudenus John, Mag. 
00628; Gugerbauer Norbert, Dr. 
00648; Guggenberger Leopold, abs. iur. 
00640; Guggenberger Walter, Mag. 
00656; Gumplmayer Hans 
00624; Gürtler Alfred, Dr. 
00626; Gürtler Johann 
00662; Gurtner Rudolf 
00663; Gusenbauer Alfred, Dr. 
83110; Gusenbauer-Jäger Marianne 
00664; Guth Ernst 
00505; Haager Christine 
00454; Haager Hans 
00456; Haas Herbert 
00457; Haberl Alfred 
35507; Haberzettl Wilhelm 
83120; Hable Rainer, Dr. 
00464; Hackenberg Heinrich 
59767; Hackl Heinz-Peter, Ing. 
78586; Hafenecker Christian, MA 
00470; Hafner Hans, Dr. 
00474; Hafner Josef 
08256; Hagen Christoph 
00472; Hagenauer Johann 
02009; Hagenhofer Marianne 
00477; Hager Hanna 
05483; Hager-Hämmerle Doris, Mag. 
00478; Hagleitner Maria 
00480; Hagspiel Ludwig 
00483; Hahn Friedrich 
36451; Hahn Johannes, Dr. 
00486; Haiden Günter, Dipl.-Ing. 
00488; Haider Franz 
00489; Haider Johann, Dr. 
00490; Haider Jörg, Dr. 
51560; Haider Roman, Mag. 
02852; Haidlmayr Theresia 
00491; Haigermoser Helmut 
35503; Haimbuchner Manfred, Mag. Dr. 
00492; Hainzl Josef 
10256; Hakel Elisabeth 
08695; Hakl Karin, Mag. 
00493; Halder Jakob, Dr. 
00494; Haller Anton 
00495; Haller Edith 
55227; Hammer Michael, Mag. 
00467; Hämmerle Rudolf, Dipl.-Ing. 
01949; Hammerschmid Josef 
88631; Hammerschmid Sonja, Mag. Dr. 
01946; Hammerstorfer Hans 
00497; Hampel Ernst, Dr. 
00498; Handel Max 
83148; Hanger Andreas, Mag. 
00500; Hanreich Georg, Dipl.-Ing. 
00501; Hans Josef 
01947; Hanusch Ferdinand 
00502; Hanzlik Hella 
00506; Hareter Alexander 
00508; Harrich Holda 
08188; Hartinger-Klein Beate, Mag. 
00511; Hartl Leopold 
00513; Hartleb Karl 
00514; Hartmann Eduard, Dipl.-Ing. 
